"","Node Name","taxon A","taxon B","Node Age","Study chronogram"
"1","n1","Emberiza citrinella","Platyspiza crassirostris",9.65098810207641,"Jetz et al. 2012 - chronogram 1"
"2","n1","Pheucticus tibialis","Schoeniclus elegans",14.333652,"Barker et al. 2015 - chronogram 1"
"3","n1","Rhodothraupis celaeno","Schoeniclus elegans",16.2984859166667,"Barker et al. 2015 - chronogram 2"
"4","n1","Emberiza citrinella","Platyspiza crassirostris",16.9499615,"Hooper et al. 2017"
"5","n1","Rhodothraupis celaeno","Schoeniclus elegans",21.5140866666667,"Jetz et al. 2012 - chronogram 2"
"6","n1","Emberiza leucocephalos","Platyspiza crassirostris",22,"Hedges et al. 2015 - chronogram 2"
"7","n1","Emberiza citrinella","Platyspiza crassirostris",22.3757276666667,"Hedges et al. 2015 - chronogram 1"
"8","n2","Platyspiza crassirostris","Rhodothraupis celaeno",7.969192505,"Jetz et al. 2012 - chronogram 1"
"9","n2","Platyspiza crassirostris","Rhodothraupis celaeno",19.708583,"Jetz et al. 2012 - chronogram 2"
"10","n2","Platyspiza crassirostris","Rhodothraupis celaeno",19.70859,"Hedges et al. 2015 - chronogram 2"
"11","n2","Platyspiza crassirostris","Rhodothraupis celaeno",19.71283625,"Hedges et al. 2015 - chronogram 1"
"12","n2","Pheucticus tibialis","Platyspiza crassirostris",44.2958603089,"Burns et al. 2014"
"13","n3","Pheucticus tibialis","Rhodothraupis celaeno",10.530444,"Barker et al. 2015 - chronogram 1"
"14","n3","Pheucticus tibialis","Rhodothraupis celaeno",10.5379092095,"Barker et al. 2013"
"15","n3","Pheucticus tibialis","Rhodothraupis celaeno",11.2095375,"Barker et al. 2015 - chronogram 2"
"16","n3","Pheucticus tibialis","Rhodothraupis celaeno",18.1570685,"Hedges et al. 2015 - chronogram 1"
"17","n4","Emberiza citrinella","Schoeniclus elegans",5.3238968850354,"Jetz et al. 2012 - chronogram 1"
"18","n4","Emberiza leucocephalos","Schoeniclus elegans",9.862246,"Barker et al. 2015 - chronogram 1"
"19","n4","Emberiza leucocephalos","Schoeniclus elegans",10.3391445,"Jetz et al. 2012 - chronogram 2"
"20","n4","Emberiza leucocephalos","Schoeniclus elegans",11.731763,"Barker et al. 2015 - chronogram 2"
"21","n4","Emberiza citrinella","Schoeniclus elegans",12.513387,"Hooper et al. 2017"
"22","n5","Emberiza citrinella","Emberiza leucocephalos",0.140701502678755,"Jetz et al. 2012 - chronogram 1"
"23","n5","Emberiza citrinella","Emberiza leucocephalos",0.151623000000001,"Hedges et al. 2015 - chronogram 2"
"24","n5","Emberiza citrinella","Emberiza leucocephalos",0.201199000000001,"Barker et al. 2015 - chronogram 1"
"25","n5","Emberiza citrinella","Emberiza leucocephalos",0.240930000000002,"Barker et al. 2015 - chronogram 2"
"26","n5","Emberiza citrinella","Emberiza leucocephalos",0.273246,"Jetz et al. 2012 - chronogram 2"
"27","n5","Emberiza citrinella","Emberiza leucocephalos",0.576025999999999,"Hedges et al. 2015 - chronogram 1"
"28","n5","Emberiza citrinella","Emberiza leucocephalos",2.289823,"Hooper et al. 2017"
